price,bedrooms,bathrooms,sqft_living,sqft_lot,yr_built,zipcode,state
253753,12,6,12890,34216,1974,90004,California
808210,8,2,4578,13619,1993,90003,California
1037818,20,10,8478,30727,2006,90003,California
572853,12,4,18912,75167,2019,90004,California
1578469,6,3,1755,6271,1972,90000,California
1287145,17,9,19180,27978,1957,90003,California
846589,14,5,19978,71759,2001,90002,California
904312,17,7,15356,43533,1997,90002,California
1963603,7,1,3794,7055,1964,90002,California
428751,12,4,7406,28499,2020,90000,California
150604,14,7,13088,32425,2010,90001,California
1127669,18,10,9987,10687,1967,90000,California
908468,15,8,9760,19390,1994,90004,California
940774,2,1,872,2135,1961,90003,California
648212,7,2,4092,8785,1974,90002,California
1010024,2,1,1318,2491,1995,90001,California
200732,15,6,11471,26709,1996,90004,California
274985,6,4,2260,5073,1990,90005,California
758684,5,2,2747,9080,1992,90000,California
1175999,6,5,1654,4828,2020,90000,California
232599,16,7,19057,49946,1995,90003,California
982629,16,7,12209,25137,1955,90002,California
930018,6,3,2404,5615,1964,90003,California
925137,2,1,562,1925,1970,90003,California
898807,1,1,754,2668,1998,90005,California
419296,4,3,2140,7657,1966,90000,California
520207,11,6,11732,35010,1975,90000,California
1572329,8,4,3230,11150,2005,90004,California
1668943,4,3,2105,6469,1962,90004,California
181575,9,4,4033,7893,1984,90003,California
287316,5,3,2114,4184,2004,90003,California
657134,6,2,1831,5419,1976,90000,California
952399,18,8,16236,43915,1985,90004,California
321796,9,3,5350,21284,1999,90005,California
492716,1,1,754,2233,1984,90005,California
688540,18,8,12151,44225,1974,90004,California
1620757,11,5,10065,20839,2013,90005,California
240461,12,7,17283,50748,1995,90000,California
249203,2,1,598,1967,1981,90002,California
161154,12,5,12561,43557,1963,90000,California
214473,8,3,4238,8613,1974,90004,California
238151,20,10,8252,21666,2019,90004,California
144868,16,10,12640,47336,2002,90003,California
1805758,6,3,2140,8444,1977,90002,California
699417,3,2,601,1674,2020,90004,California
503128,16,7,18654,34057,2016,90004,California
1695030,13,6,17675,55213,2014,90004,California
1638656,2,1,1426,3956,1985,90000,California
702414,14,8,19452,70838,1981,90004,California
888558,14,9,16646,37485,1950,90002,California
1306847,19,10,15838,44259,2012,90004,California
1520611,4,1,2829,3931,1965,90004,California
1276745,14,6,10661,21509,2019,90000,California
389125,11,6,18064,64094,1980,90005,California
1260875,19,7,10824,13334,1999,90005,California
1795047,3,1,1003,2350,2003,90003,California
507007,2,1,1040,2587,1981,90000,California
255888,10,5,3693,6593,2020,90002,California
1141852,16,7,11010,14187,1983,90004,California
1565822,6,3,1560,3335,1957,90003,California
1580857,20,8,16261,43863,2012,90004,California
416728,20,9,19565,24601,1975,90003,California
978359,17,7,9904,16060,1959,90001,California
794221,4,1,2924,9881,1972,90003,California
1993232,8,4,4329,11854,1995,90004,California
102830,17,8,12479,22243,1970,90002,California
1490543,11,7,14388,46451,1964,90001,California
269335,11,5,12502,17916,1986,90002,California
1801869,17,8,14352,28436,2012,90002,California
1395733,14,7,10109,31753,1986,90000,California
1341098,3,1,1353,5126,1984,90002,California
1637443,14,6,7880,18927,2018,90000,California
1010848,10,3,4606,11701,1960,90003,California
272471,10,4,3940,6486,1968,90005,California
881722,10,4,6677,23808,2013,90003,California
1628485,10,5,5929,8956,1960,90001,California
973539,19,10,14463,31592,1985,90003,California
600155,7,3,5940,14918,1974,90001,California
1572161,6,2,2519,7286,1956,90001,California
1650488,7,3,4330,6603,1977,90004,California
1186108,10,5,3410,10546,1997,90003,California
1574605,8,3,4100,15644,1952,90000,California
597648,14,7,9783,28179,1999,90002,California
304574,11,7,7697,23030,1956,90001,California
1815924,4,2,2478,4702,2019,90002,California
1014509,13,6,10829,18080,1994,90001,California
1189610,5,2,2622,9092,1951,90000,California
1779004,2,2,1398,3008,1997,90004,California
769547,1,1,541,1732,2010,90004,California
902689,16,7,18383,22289,1972,90001,California
1576189,19,9,15032,27457,1952,90005,California
960226,5,2,2745,9320,1988,90004,California
877710,7,3,3667,8877,2000,90001,California
935047,18,8,8821,24688,1990,90004,California
312294,13,6,17904,33623,1995,90002,California
840768,6,3,1608,4911,1971,90004,California
161038,3,3,749,1532,1986,90004,California
281948,9,6,3992,6078,1957,90004,California
1302637,5,4,2965,4268,1956,90001,California
1805505,20,10,18370,30311,1981,90000,California
607881,10,4,6232,15346,1980,90001,California
1025133,19,10,10971,35378,2019,90000,California
1142746,2,1,1076,1890,1960,90003,California
1395936,20,10,12370,34609,2007,90004,California
1840747,4,2,2390,3134,2001,90005,California
945945,2,1,690,2624,1961,90003,California
594759,6,4,1745,3884,1970,90000,California
1912515,12,6,14833,32756,1983,90005,California
1361586,17,10,15087,58069,1959,90004,California
656397,11,5,13439,31475,1968,90000,California
1084422,1,3,875,2226,1977,90000,California
1764023,11,4,15674,31765,1993,90005,California
1158958,2,2,1418,2433,1980,90001,California
946148,7,3,4536,14777,1972,90004,California
1333288,7,3,4131,8845,1980,90003,California
1813798,13,7,16853,33025,2013,90004,California
833465,2,1,505,1848,1969,90000,California
1581069,9,3,5489,13511,2003,90004,California
1324263,16,8,15030,39953,2020,90003,California
1837984,5,2,2831,11055,1989,90004,California
721788,11,4,8405,31654,1970,90002,California
784587,7,2,5031,9605,2006,90001,California
1719395,9,3,6366,10761,2016,90003,California
960780,1,1,1477,4764,1990,90004,California
802558,7,3,3878,4509,2003,90004,California
176994,18,9,8400,21445,1997,90003,California
1875275,4,1,1689,3099,1978,90001,California
1955662,3,1,1222,3126,1956,90005,California
1603231,4,1,2396,4902,1962,90004,California
398575,1,1,1154,3031,2022,90001,California
1142401,10,4,6059,18190,1972,90000,California
1607106,9,6,3671,12667,1994,90003,California
664898,16,7,8311,29591,1957,90002,California
1111886,8,4,6312,9877,2017,90003,California
526610,11,5,18359,35530,1969,90001,California
1654279,14,8,8634,24279,2022,90003,California
719479,15,5,17903,64240,1959,90005,California
1072585,1,1,663,2157,1997,90001,California
791698,18,7,13744,36923,1969,90005,California
1124612,5,1,1526,6033,2020,90004,California
585472,19,7,14221,52455,2000,90003,California
1034906,5,1,1728,3448,1992,90002,California
1099268,7,3,5561,11795,1982,90002,California
179227,9,2,4546,6657,1959,90004,California
1972388,20,8,11149,35695,1973,90005,California
1173357,10,3,3555,13248,1973,90003,California
612540,12,5,10761,20501,2008,90005,California
819855,4,1,2452,8467,1999,90004,California
1832975,12,6,16297,21659,2002,90000,California
1358138,3,1,868,3364,2000,90005,California
1378818,9,4,5962,10244,1990,90003,California
1027773,1,1,1484,3154,1995,90005,California
891765,15,7,14191,53592,2018,90000,California
544863,9,4,3802,13698,2003,90001,California
1093088,5,3,1935,4435,1957,90003,California
1153809,20,10,13896,27040,1988,90000,California
854210,5,2,2710,8164,1991,90000,California
199864,6,2,2269,6546,1987,90003,California
707975,18,9,14785,49373,2000,90001,California
1586615,9,3,4755,10666,1959,90003,California
1171061,16,7,12908,14234,1985,90004,California
1632467,10,3,3289,8386,1955,90002,California
1058930,14,9,10130,31909,1969,90001,California
888459,15,7,14868,35444,2001,90003,California
1917975,16,6,13026,27825,1996,90001,California
617041,7,4,6709,13976,1989,90005,California
994543,12,5,16814,45480,2012,90000,California
1565824,13,6,15907,53941,1960,90001,California
1572927,17,7,19517,44488,1962,90001,California
420934,19,9,18485,58941,1965,90002,California
431861,10,5,3902,8858,1980,90005,California
533434,8,2,4347,11895,1965,90003,California
1460718,8,5,3366,4753,1981,90000,California
1412537,19,8,17392,53840,1978,90004,California
1711834,18,8,13179,42000,1955,90001,California
1331657,3,1,659,1487,1995,90000,California
854901,16,8,12082,33343,1999,90004,California
1724939,2,1,861,2539,1998,90002,California
958829,14,7,12367,42882,2009,90002,California
766788,9,3,4038,10431,1992,90000,California
1915499,13,6,8867,22272,1984,90000,California
1522995,2,1,909,2393,2011,90002,California
125531,1,1,1359,2380,1971,90002,California
1101908,5,2,2915,4577,1975,90002,California
1489320,19,9,18154,72548,1967,90002,California
1519461,9,3,3389,4445,1971,90003,California
727920,17,8,14758,27769,1981,90001,California
961560,5,1,2718,9505,1951,90000,California
1998918,20,8,12810,31046,1985,90000,California
